ISSN,Título,Área de Avaliação,Classificação
1438-8871,JMIR. JOURNAL OF MEDICAL INTERNET RESEARCH,CIÊNCIA DA COMPUTAÇÃO,A1
0377-0427,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,CIÊNCIA DA COMPUTAÇÃO,A1
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,CIÊNCIA DA COMPUTAÇÃO,A1
0192-8651,JOURNAL OF COMPUTATIONAL CHEMISTRY,CIÊNCIA DA COMPUTAÇÃO,A1
0021-9991,JOURNAL OF COMPUTATIONAL PHYSICS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
0022-3239,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,CIÊNCIA DA COMPUTAÇÃO,A1
1573-2878,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A1
1548-7660,JOURNAL OF STATISTICAL SOFTWARE,CIÊNCIA DA COMPUTAÇÃO,A1
1067-5027,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,CIÊNCIA DA COMPUTAÇÃO,A1
1532-2890,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY (ONLINE),CIÊNCIA DA COMPUTAÇÃO,A1
1532-2882,JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1
2330-1643,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,CIÊNCIA DA COMPUTAÇÃO,A1
0160-5682,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,CIÊNCIA DA COMPUTAÇÃO,A1
1084-7529,"JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. A, OPTICS, IMAGE SCIENCE, AND VISION",CIÊNCIA DA COMPUTAÇÃO,A1
0950-7051,KNOWLEDGE-BASED SYSTEMS,CIÊNCIA DA COMPUTAÇÃO,A1
0885-6125,MACHINE LEARNING,CIÊNCIA DA COMPUTAÇÃO,A1
1573-0565,MACHINE LEARNING (DORDRECHT. ONLINE),CIÊNCIA DA COMPUTAÇÃO,A1
0340-6253,MATCH (MULHEIM),CIÊNCIA DA COMPUTAÇÃO,A1
0025-5610,MATHEMATICAL PROGRAMMING,CIÊNCIA DA COMPUTAÇÃO,A1
